2023-11-16T13:04:09.217811 None
2023-11-16T13:04:09.731253 None
2023-11-16T13:04:10.243052 None
2023-11-16T13:04:10.751027 None
2023-11-16T13:04:11.261401 None
2023-11-16T13:04:11.774449 None
2023-11-16T13:04:12.287889 None
2023-11-16T13:04:12.799721 None
2023-11-16T13:04:13.307585 None
2023-11-16T13:04:13.817989 None
2023-11-16T13:04:14.329342 None
2023-11-16T13:04:14.843119 None
2023-11-16T13:04:15.355742 None
2023-11-16T13:04:15.863692 None
2023-11-16T13:04:16.375927 None
2023-11-16T13:04:16.891102 None
2023-11-16T13:04:17.398916 None
2023-11-16T13:04:17.909321 None
2023-11-16T13:04:18.420751 None
2023-11-16T13:04:18.934724 None
2023-11-16T13:08:01.005155 12453 1.5554224677266761
2023-11-16T13:08:01.589993 12427 1.5541724295785393
2023-11-16T13:08:02.165757 12417 1.5520473647267068
2023-11-16T13:08:02.743242 12398 1.549547288430433
2023-11-16T13:08:03.322544 12375 1.5474222235786004
2023-11-16T13:08:03.904460 12360 1.5450471510971404
2023-11-16T13:08:04.488323 12322 1.5387969603564562
2023-11-16T13:08:05.071243 12251 1.5225464644306772
2023-11-16T13:08:05.652037 12306 1.538046937467574
2023-11-16T13:08:06.233012 12276 1.5341718192083498
2023-11-16T13:08:06.815339 12265 1.5327967772453994
2023-11-16T13:08:07.399033 12249 1.530171697134312
2023-11-16T13:08:07.975581 12186 1.5227964720603047
2023-11-16T13:08:08.552415 12211 1.5262965788750877
2023-11-16T13:08:09.135742 12163 1.5211714224677266
2023-11-16T13:08:09.719902 12128 1.5160462660603655
2023-11-16T13:08:10.294216 12138 1.5166712851344342
2023-11-16T13:08:10.871765 12083 1.5100460829493088
2023-11-16T13:08:11.449169 12062 1.5120461439863278
2023-11-16T13:08:12.034740 12077 1.5100460829493088
2023-11-16T13:08:12.620113 12021 1.5027958616901151
2023-11-16T13:08:13.192733 12048 1.5059209570604573
2023-11-16T13:08:13.771639 12030 1.5012958159123508
2023-11-16T13:08:14.351176 12011 1.5006707968382824
2023-11-16T13:08:14.932324 11988 1.498045716727195
2023-11-16T13:08:15.515745 11926 1.4907954954680014
2023-11-16T13:08:16.088246 11906 1.4880454115421002
2023-11-16T13:08:16.663681 11931 1.491295510727256
2023-11-16T13:08:17.245611 11869 1.4837952818384352
2023-11-16T13:08:17.824524 11886 1.4855453352458265
2023-11-16T13:08:18.401124 11875 1.4835452742088078
2023-11-16T13:08:18.981359 11856 1.4815452131717888
2023-11-16T13:08:19.561635 11822 1.4775450910977508
2023-11-16T13:08:20.142057 11746 1.4682948088015382
2023-11-16T13:08:20.724875 11752 1.4689198278756064
2023-11-16T13:08:21.298250 11768 1.469919858394116
2023-11-16T13:08:21.878666 11711 1.4635446638386183
2023-11-16T13:08:22.454815 11730 1.4656697286904508
2023-11-16T13:08:23.036350 11710 1.463169652394177
2023-11-16T13:08:23.611750 11649 1.4557944273201697
2023-11-16T13:08:24.186237 11669 1.45816949980163
2023-11-16T13:08:24.767946 11620 1.4520443128757592
2023-11-16T13:08:25.349328 11578 1.4476691793572802
2023-11-16T13:08:25.929682 11607 1.450919278542436
2023-11-16T13:08:26.506959 11544 1.4425440229499193
2023-11-16T13:08:27.081724 11520 1.4451691030610065
2023-11-16T13:08:27.662365 11545 1.4430440382091738
2023-11-16T13:08:28.245146 11479 1.4142931608020264
2023-11-16T13:08:28.822800 11497 1.4371688589129308
2023-11-16T13:08:29.403953 11461 1.4316686910611285
2023-11-16T13:08:29.986411 11408 1.425543504135258
2023-11-16T13:08:30.567239 11428 1.4286685995056
2023-11-16T13:08:31.146244 11398 1.418043275246437
2023-11-16T13:08:31.727628 11178 1.3956675923947877
2023-11-16T13:08:32.308032 11165 1.3986676839503158
2023-11-16T13:08:32.896433 11210 1.3785420697653128
2023-11-16T13:08:33.481525 10932 1.3650416577654347
2023-11-16T13:08:34.058937 10826 1.3515412457655567
2023-11-16T13:08:34.640913 10790 1.3480411389507738
2023-11-16T13:08:35.224405 10720 1.338040833765679
2023-11-16T13:08:35.800837 10710 1.3267904904324475
2023-11-16T13:08:36.380254 10625 1.3319156468398083
2023-11-16T13:08:36.967797 10567 1.3272905056917021
2023-11-16T13:08:38.284226 10471 1.3087899410992767
2023-11-16T13:08:38.868742 10407 1.3010397045808282
2023-11-16T13:08:39.450170 10353 1.2932894680623799
2023-11-16T13:08:40.037564 10319 1.2842891933957947
2023-11-16T13:08:40.613455 10253 1.273788872951445
2023-11-16T13:08:41.193780 10137 1.27666396069216
2023-11-16T13:08:41.778939 10061 1.2577883846552933
